Production,Produção
"Sandbox - Environment for tests","Sandbox - Ambiente para testes"
"Installment Interest",Juros parcelados
Add,Adicionar
Authorize,Autorizar
"Authorize and Capture","Autorizar e Capturar"
Yes,Sim
No,Não
"The order no longer exists.","Este pedido não existe."
"We can't save the invoice right now.","Não foi possível salvar a fatura agora."
"You can't create an invoice without products.","Você não pode criar uma fatura sem produtos."
"We can't send the invoice email right now.","Não podemos enviar o e-mail da fatura agora."
"Click here to view your billet.","Clique aqui para ver o seu boleto."
"Method Payment","Método Pagamento"
"Card Holder Name","Nome do titular do cartão"
"Card Holder Document","CPF/CNPJ do Titular do Cartão"
"Card Holder Phone","Telefone do titular do cartão"
"Final Digits Credit Card","Últimos digitos do cartão"
"Number of Installments","Número de parcelas"
"Client Document is Invalid!","O documento do cliente é inválido!"
"Card Holder Cellphone is Invalid!","O telefone do titular do cartão é inválido!"
"Card Holder Birth is Invalid!","A data de nascimento do titular do cartão é inválida!"
"Card Holder Document is Invalid!","O documento do titular do cartão é inválido!"
"Card Number is Invalid!","O número do cartão é inválido!"
"Card CVV is Invalid!","Código CVV inválido!"
"Error Processing Request, Rule of Capture not Selected!","Erro na solicitação, Regra de captura não selecionada!"
"Payment data object should be provided",Os dados de pagamento devem ser preenchidos"
"An error has occurred. Check your card details!","Ocorreu um erro! Verifique os dados do seu cartão!"
"An error occurred with the capture.","Ocorreu um erro com a captura."
"Not found order.","Pedido não foi encontrado."
"Shipping postal code was not filled!","O código postal não foi preenchido!"
"Shipping street was not filled!","A rua do local não foi preenchida!"
"Shipping number was not filled!","O número do local não foi preenchido!"
"Shipping city was not filled!","A cidade não foi preenchida!"
"Shipping state was not filled!","O estado do local não foi preenchido!"
"Billing postal code was not filled!","O código postal do endereço de cobrança não foi preenchido!"
"Billing street was not filled!","A rua do endereço de cobrança não foi preenchida!"
"Billing number was not filled!","O número do endereço de cobrança não foi preenchido!"
"Billing city was not filled!","A cidade do endereço de cobrança não foi preenchida!"
"Billing state was not filled!","O estado do endereço de cobrança não foi preenchido!"
"Billing district was not filled!","O distrito do endereço de cobrança não foi preenchido!"
"Customer email not filled in or invalid!","O nome do cliente não foi preenchido!"
"Customer email not filled in or invalid!","E-mail do cliente não foi preenchido!"
"Customer cellphone not filled in or invalid!","Celular ou telefone do cliente não foi preenchido!"
"Something didn't go well. Check your information!","Algo não ocorreu bem. Verifique suas informações!"
Installments,Parcelas
Action,Ação
"Add after","Adicionar depois"
Delete,Apagar
"Client Document","CPF/CNPJ do Cliente"
"Place Order","Finalizar pedido"
"Card Holder Cellphone","Celular"
"Card Holder Birth","Data de Nascimento"
"Card Number","Número do Cartão"
"Name On Card","Nome do Titular"
"Expiration Month","Mês de Vencimento"
"Expiration Year","Ano de Vencimento"
"CVV - Card Verification Number","Codigo de Verificação (CVV)"
"Select Installment","Nº de Parcelas"
"Credit card number does not match credit card type.","O número de cartão de crédito e o tipo de cartão não são os mesmos."
"Please enter a valid credit card type number.","Por favor insira um número de cartão válido."
"Please enter a valid credit card number.","Por favor insira um número de cartão válido."
"Please enter a valid credit card verification number.","Por favor insira um número verificação válido."
"Belluno Custom Payment","Belluno Pagamentos Personalizados"
"Belluno Config","Belluno Configurações"
Environment,Ambiente
"Sort Order","Ordenamento"
"Belluno - Authentication","Belluno - Autenticação"
"Authentication Token","Token de autenticação"
"Public Key Konduto","Chave pública Konduto"
"Belluno - Credit Card","Belluno - Cartão de crédito"
Enabled,Habilitado
Title,Título
"Rule of Capture","Regra de Captura"
"Minimum value of installment","Valor mínimo para as parcelas"
"Belluno - Bank Slip","Belluno - Boleto"
"Days to expiration","Dias para expiração"
"Capture tax document (CPF or CNPJ) in the payment form?","Capturar documentos (CPF ou CNPJ) no formulário de pagamento?"
"This field must be made available by the Konduto support team.","Este campo deve ser disponibilizado pela equipe de suporte Konduto."
"If not filled in, one day will be taken into account.","Se não for preenchido, será considerado um dia."
"Method Payment","Método de pagamento"
"Card Holder Name","Nome do titular do cartão"
"Card Holder Document","Documento do Titular do Cartão"
"Card Holder Phone","Celular/Telefone do títular do cartão"
"Final Digits Credit Card","Digitos finais do cartão de crédito"
"Number of Installments","Número de parcelas"
"Payment Detail","Detalhes do pagamento"
"View Bank Slip","Visualizar Boleto"
"Digitable Line","Linha Digitável"
"Copy","Copiar"
"Download your ticket here","Baixe o seu boleto aqui"
"Method Payment","Método de pagamento"
"Card Holder Name","Nome do titular do cartão"
"Card Holder Document","Documento do titular do cartão"
"Card Holder Phone","Celular do titular do cartão"
"Final Digits Credit Card","Digitos finais do cartão"
"Number of Installments","Número de parcelas"
"Total Paid","Total pago"